MiniDOT Logger Concatenated Data File
Sensor:             7450-106600
Concatenation Date: 2023Aug09 10:54:20 AST

DO concentration compensated for salinity: 40.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,      3.500000,     22.038000,          6.639918,                    95.904157,      0.958000
                1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,      3.500000,     22.255000,          6.619390,                    95.971569,      0.960000
                1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,      3.500000,     23.008000,          6.527019,                    95.879168,      0.960000
                1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,      3.500000,     23.519000,          6.467450,                    95.844002,      0.960000
                1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,      3.500000,     23.972000,          6.415853,                    95.818998,      0.960000
                1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,      3.500000,     24.374000,          6.377922,                    95.905820,      0.960000
                1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,      3.500000,     24.786000,          6.343988,                    96.062376,      0.960000
                1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,      3.500000,     25.182000,          6.301047,                    96.049536,      0.960000
                1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,      3.500000,     25.957000,          6.234673,                    96.274353,      0.972000
                1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,      3.490000,     27.262000,          6.112345,                    96.434087,      0.972000
                1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,      3.490000,     26.405000,          6.232695,                    96.959875,      0.972000
                1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,      3.500000,     25.738000,          6.305060,                    97.007548,      0.971000
                1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,      3.500000,     25.241000,          6.351835,                    96.919514,      0.971000
                1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,      3.500000,     24.862000,          6.394133,                    96.945745,      0.972000
                1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,      3.500000,     24.475000,          6.429102,                    96.840999,      0.971000
                1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,      3.500000,     24.181000,          6.459413,                    96.813454,      0.972000
                1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,      3.500000,     23.863000,          6.483060,                    96.642787,      0.971000
                1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,      3.510000,     23.594000,          6.500831,                    96.462705,      0.970000
                1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,      3.510000,     23.343000,          6.528297,                    96.453581,      0.971000
                1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,      3.500000,     23.092000,          6.562869,                    96.545801,      0.971000
                1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,      3.500000,     22.849000,          6.568126,                    96.217851,      0.970000
                1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,      3.510000,     22.657000,          6.595349,                    96.295306,      0.971000
                1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,      3.510000,     22.447000,          6.612036,                    96.186757,      0.971000
                1690201260,           2023-07-24 12:21:00,           2023-07-24 15:21:00,      3.510000,     22.255000,          6.638415,                    96.247415,      0.971000
                1690201860,           2023-07-24 12:31:00,           2023-07-24 15:31:00,      3.500000,     22.071000,          6.647425,                    96.068152,      0.971000
                1690202460,           2023-07-24 12:41:00,           2023-07-24 15:41:00,      3.510000,     21.904000,          6.674045,                    96.170607,      0.971000
                1690203060,           2023-07-24 12:51:00,           2023-07-24 15:51:00,      3.510000,     21.762000,          6.689051,                    96.146384,      0.971000
                1690203660,           2023-07-24 13:01:00,           2023-07-24 16:01:00,      3.510000,     21.594000,          6.698200,                    95.993152,      0.971000
                1690204260,           2023-07-24 13:11:00,           2023-07-24 16:11:00,      3.510000,     21.477000,          6.707929,                    95.934068,      0.970000
                1690204860,           2023-07-24 13:21:00,           2023-07-24 16:21:00,      3.510000,     21.344000,          6.720630,                    95.889702,      0.970000
                1690205460,           2023-07-24 13:31:00,           2023-07-24 16:31:00,      3.510000,     21.193000,          6.737858,                    95.878344,      0.971000
                1690206060,           2023-07-24 13:41:00,           2023-07-24 16:41:00,      3.510000,     21.076000,          6.741232,                    95.727058,      0.970000
                1690206660,           2023-07-24 13:51:00,           2023-07-24 16:51:00,      3.510000,     20.976000,          6.754293,                    95.741911,      0.970000
                1690207260,           2023-07-24 14:01:00,           2023-07-24 17:01:00,      3.510000,     20.859000,          6.774263,                    95.824829,      0.970000
                1690207860,           2023-07-24 14:11:00,           2023-07-24 17:11:00,      3.510000,     20.758000,          6.787295,                    95.836117,      0.971000
                1690208460,           2023-07-24 14:21:00,           2023-07-24 17:21:00,      3.510000,     20.683000,          6.782448,                    95.639284,      0.970000
                1690209060,           2023-07-24 14:31:00,           2023-07-24 17:31:00,      3.510000,     20.591000,          6.801112,                    95.744564,      0.970000
                1690209660,           2023-07-24 14:41:00,           2023-07-24 17:41:00,      3.510000,     20.507000,          6.814332,                    95.786250,      0.970000
                1690210260,           2023-07-24 14:51:00,           2023-07-24 17:51:00,      3.510000,     20.440000,          6.818267,                    95.726340,      0.970000
                1690210860,           2023-07-24 15:01:00,           2023-07-24 18:01:00,      3.510000,     20.382000,          6.822309,                    95.683295,      0.970000
                1690211460,           2023-07-24 15:11:00,           2023-07-24 18:11:00,      3.510000,     20.340000,          6.831284,                    95.736810,      0.970000
                1690212060,           2023-07-24 15:21:00,           2023-07-24 18:21:00,      3.510000,     20.273000,          6.836793,                    95.698529,      0.970000
                1690212660,           2023-07-24 15:31:00,           2023-07-24 18:31:00,      3.510000,     20.206000,          6.841511,                    95.649004,      0.970000
                1690213260,           2023-07-24 15:41:00,           2023-07-24 18:41:00,      3.510000,     20.164000,          6.842580,                    95.591519,      0.970000
                1690213860,           2023-07-24 15:51:00,           2023-07-24 18:51:00,      3.510000,     20.080000,          6.860513,                    95.696802,      0.970000
                1690214460,           2023-07-24 16:01:00,           2023-07-24 19:01:00,      3.510000,     19.997000,          6.872133,                    95.715175,      0.970000
                1690215060,           2023-07-24 16:11:00,           2023-07-24 19:11:00,      3.510000,     19.930000,          6.879997,                    95.708581,      0.970000
                1690215660,           2023-07-24 16:21:00,           2023-07-24 19:21:00,      3.510000,     19.879000,          6.880160,                    95.622469,      0.970000
                1690216260,           2023-07-24 16:31:00,           2023-07-24 19:31:00,      3.510000,     19.829000,          6.889018,                    95.658831,      0.970000
                1690216860,           2023-07-24 16:41:00,           2023-07-24 19:41:00,      3.510000,     19.770000,          6.896184,                    95.655881,      0.970000
                1690217460,           2023-07-24 16:51:00,           2023-07-24 19:51:00,      3.510000,     19.712000,          6.909674,                    95.742094,      0.971000
                1690218060,           2023-07-24 17:01:00,           2023-07-24 20:01:00,      3.510000,     19.695000,          6.901571,                    95.600286,      0.970000
                1690218660,           2023-07-24 17:11:00,           2023-07-24 20:11:00,      3.510000,     19.670000,          6.905208,                    95.607201,      0.970000
                1690219260,           2023-07-24 17:21:00,           2023-07-24 20:21:00,      3.510000,     19.636000,          6.912678,                    95.651466,      0.970000
                1690219860,           2023-07-24 17:31:00,           2023-07-24 20:31:00,      3.510000,     19.611000,          6.917891,                    95.680073,      0.970000
                1690220460,           2023-07-24 17:41:00,           2023-07-24 20:41:00,      3.510000,     19.594000,          6.915313,                    95.614824,      0.970000
                1690221060,           2023-07-24 17:51:00,           2023-07-24 20:51:00,      3.510000,     19.578000,          6.911958,                    95.540604,      0.969000
                1690221660,           2023-07-24 18:01:00,           2023-07-24 21:01:00,      3.510000,     19.578000,          6.915114,                    95.584230,      0.970000
                1690222260,           2023-07-24 18:11:00,           2023-07-24 21:11:00,      3.510000,     19.569000,          6.915791,                    95.577926,      0.970000
                1690222860,           2023-07-24 18:21:00,           2023-07-24 21:21:00,      3.510000,     19.561000,          6.921215,                    95.638948,      0.970000
                1690223460,           2023-07-24 18:31:00,           2023-07-24 21:31:00,      3.510000,     19.544000,          6.918637,                    95.573719,      0.970000
                1690224060,           2023-07-24 18:41:00,           2023-07-24 21:41:00,      3.510000,     19.544000,          6.914692,                    95.519224,      0.969000
                1690224660,           2023-07-24 18:51:00,           2023-07-24 21:51:00,      3.510000,     19.527000,          6.926315,                    95.650154,      0.970000
                1690225260,           2023-07-24 19:01:00,           2023-07-24 22:01:00,      3.510000,     19.519000,          6.930949,                    95.700196,      0.970000
                1690225860,           2023-07-24 19:11:00,           2023-07-24 22:11:00,      3.510000,     19.527000,          6.917636,                    95.530305,      0.970000
                1690226460,           2023-07-24 19:21:00,           2023-07-24 22:21:00,      3.510000,     19.527000,          6.913691,                    95.475829,      0.969000
                1690227060,           2023-07-24 19:31:00,           2023-07-24 22:31:00,      3.510000,     19.502000,          6.926003,                    95.602282,      0.970000
                1690227660,           2023-07-24 19:41:00,           2023-07-24 22:41:00,      3.510000,     19.511000,          6.922171,                    95.565056,      0.970000
                1690228260,           2023-07-24 19:51:00,           2023-07-24 22:51:00,      3.510000,     19.527000,          6.921581,                    95.584782,      0.970000
                1690228860,           2023-07-24 20:01:00,           2023-07-24 23:01:00,      3.510000,     19.511000,          6.918226,                    95.510597,      0.970000
                1690229460,           2023-07-24 20:11:00,           2023-07-24 23:11:00,      3.510000,     19.502000,          6.925214,                    95.591393,      0.970000
                1690230060,           2023-07-24 20:21:00,           2023-07-24 23:21:00,      3.510000,     19.511000,          6.917437,                    95.499705,      0.969000
                1690230660,           2023-07-24 20:31:00,           2023-07-24 23:31:00,      3.510000,     19.511000,          6.919015,                    95.521489,      0.969000
                1690231260,           2023-07-24 20:41:00,           2023-07-24 23:41:00,      3.510000,     19.511000,          6.915859,                    95.477922,      0.969000
                1690231860,           2023-07-24 20:51:00,           2023-07-24 23:51:00,      3.510000,     19.519000,          6.923848,                    95.602154,      0.970000
                1690232460,           2023-07-24 21:01:00,           2023-07-25 00:01:00,      3.510000,     19.502000,          6.923636,                    95.569613,      0.970000
                1690233060,           2023-07-24 21:11:00,           2023-07-25 00:11:00,      3.510000,     19.502000,          6.917325,                    95.482494,      0.969000
                1690233660,           2023-07-24 21:21:00,           2023-07-25 00:21:00,      3.510000,     19.511000,          6.922960,                    95.575948,      0.970000
                1690234260,           2023-07-24 21:31:00,           2023-07-25 00:31:00,      3.510000,     19.511000,          6.913492,                    95.445246,      0.969000
                1690234860,           2023-07-24 21:41:00,           2023-07-25 00:41:00,      3.510000,     19.502000,          6.914169,                    95.438934,      0.969000
                1690235460,           2023-07-24 21:51:00,           2023-07-25 00:51:00,      3.510000,     19.502000,          6.916536,                    95.471604,      0.970000
                1690236060,           2023-07-24 22:01:00,           2023-07-25 01:01:00,      3.510000,     19.502000,          6.909436,                    95.373595,      0.969000
                1690236660,           2023-07-24 22:11:00,           2023-07-25 01:11:00,      3.510000,     19.511000,          6.919015,                    95.521489,      0.970000
                1690237260,           2023-07-24 22:21:00,           2023-07-25 01:21:00,      3.510000,     19.511000,          6.915070,                    95.467030,      0.970000
                1690237860,           2023-07-24 22:31:00,           2023-07-25 01:31:00,      3.510000,     19.502000,          6.916536,                    95.471604,      0.970000
                1690238460,           2023-07-24 22:41:00,           2023-07-25 01:41:00,      3.510000,     19.502000,          6.921270,                    95.536943,      0.970000
                1690239060,           2023-07-24 22:51:00,           2023-07-25 01:51:00,      3.510000,     19.502000,          6.918903,                    95.504274,      0.970000
                1690239660,           2023-07-24 23:01:00,           2023-07-25 02:01:00,      3.510000,     19.511000,          6.915859,                    95.477922,      0.970000
                1690240260,           2023-07-24 23:11:00,           2023-07-25 02:11:00,      3.510000,     19.511000,          6.905603,                    95.336328,      0.969000
                1690240860,           2023-07-24 23:21:00,           2023-07-25 02:21:00,      3.510000,     19.502000,          6.922847,                    95.558723,      0.970000
                1690241460,           2023-07-24 23:31:00,           2023-07-25 02:31:00,      3.510000,     19.494000,          6.916436,                    95.456307,      0.970000
                1690242060,           2023-07-24 23:41:00,           2023-07-25 02:41:00,      3.510000,     19.511000,          6.915070,                    95.467030,      0.970000
                1690242660,           2023-07-24 23:51:00,           2023-07-25 02:51:00,      3.510000,     19.502000,          6.911802,                    95.406265,      0.970000
                1690243260,           2023-07-25 00:01:00,           2023-07-25 03:01:00,      3.510000,     19.502000,          6.911802,                    95.406265,      0.969000
                1690243860,           2023-07-25 00:11:00,           2023-07-25 03:11:00,      3.510000,     19.519000,          6.904124,                    95.329814,      0.969000
                1690244460,           2023-07-25 00:21:00,           2023-07-25 03:21:00,      3.510000,     19.494000,          6.920381,                    95.510748,      0.970000
                1690245060,           2023-07-25 00:31:00,           2023-07-25 03:31:00,      3.510000,     19.485000,          6.928158,                    95.602391,      0.970000
                1690245660,           2023-07-25 00:41:00,           2023-07-25 03:41:00,      3.510000,     19.494000,          6.919592,                    95.499859,      0.970000
                1690246260,           2023-07-25 00:51:00,           2023-07-25 03:51:00,      3.510000,     19.494000,          6.925115,                    95.576076,      0.970000
                1690246860,           2023-07-25 01:01:00,           2023-07-25 04:01:00,      3.510000,     19.511000,          6.915070,                    95.467030,      0.970000
