MiniDOT Logger Concatenated Data File
Sensor:             7450-106600
Concatenation Date: 2023Feb17 23:31:11 AST

DO concentration compensated for salinity: 41.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1675405680,           2023-02-03 06:28:00,           2023-02-03 09:28:00,      3.500000,     23.201000,          6.554613,                    97.166484,      1.004000
                1675405980,           2023-02-03 06:33:00,           2023-02-03 09:33:00,      3.510000,     23.268000,          6.555365,                    97.289623,      1.005000
                1675406280,           2023-02-03 06:38:00,           2023-02-03 09:38:00,      3.500000,     23.159000,          6.577032,                    97.428415,      1.006000
                1675406580,           2023-02-03 06:43:00,           2023-02-03 09:43:00,      3.500000,     23.083000,          6.591959,                    97.521841,      1.004000
                1675406880,           2023-02-03 06:48:00,           2023-02-03 09:48:00,      3.510000,     23.418000,          6.542042,                    97.342165,      1.006000
                1675407180,           2023-02-03 06:53:00,           2023-02-03 09:53:00,      3.500000,     25.249000,          6.315797,                    96.933750,      1.009000
                1675407480,           2023-02-03 06:58:00,           2023-02-03 09:58:00,      3.500000,     25.502000,          6.201136,                    95.576531,      1.008000
                1675407780,           2023-02-03 07:03:00,           2023-02-03 10:03:00,      3.500000,     25.628000,          6.195280,                    95.686719,      1.008000
                1675408080,           2023-02-03 07:08:00,           2023-02-03 10:08:00,      3.500000,     25.662000,          6.164710,                    95.268386,      1.007000
                1675408380,           2023-02-03 07:13:00,           2023-02-03 10:13:00,      3.500000,     25.586000,          6.130656,                    94.622459,      1.007000
                1675408680,           2023-02-03 07:18:00,           2023-02-03 10:18:00,      3.500000,     25.595000,          6.134709,                    94.699195,      1.007000
                1675408980,           2023-02-03 07:23:00,           2023-02-03 10:23:00,      3.500000,     25.578000,          6.105213,                    94.217227,      1.007000
                1675409280,           2023-02-03 07:28:00,           2023-02-03 10:28:00,      3.500000,     25.375000,          6.036627,                    92.844241,      1.007000
                1675409580,           2023-02-03 07:33:00,           2023-02-03 10:33:00,      3.500000,     25.165000,          5.979099,                    91.637350,      1.007000
