7450-435816
OS REV: 1.05 Sensor Cal: 1652983418
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690361460,+3.54,+34.236, +7.643,+0.876
1690362060,+3.55,+34.289, +7.788,+0.877
1690362660,+3.55,+34.298, +7.815,+0.877
1690363260,+3.55,+34.351, +7.855,+0.876
1690363860,+3.55,+34.405, +7.886,+0.877
1690364460,+3.55,+34.521, +8.134,+0.877
1690365060,+3.54,+34.753, +8.369,+0.876
1690365660,+3.54,+34.949, +8.770,+0.876
1690366260,+3.54,+35.111, +9.199,+0.875
1690366860,+3.54,+35.236, +9.361,+0.875
1690367460,+3.54,+35.362, +9.336,+0.874
1690368060,+3.55,+35.496, +9.350,+0.874
1690368660,+3.55,+35.595, +9.591,+0.873
1690369260,+3.55,+35.631, +9.568,+0.874
1690369860,+3.55,+35.649, +9.619,+0.873
1690370460,+3.55,+35.730, +9.688,+0.873
1690371060,+3.55,+35.739, +9.529,+0.873
1690371660,+3.55,+35.802, +9.391,+0.872
1690372260,+3.54,+35.865, +9.548,+0.873
1690372860,+3.54,+35.901, +9.623,+0.873
1690373460,+3.54,+35.938, +9.626,+0.872
1690374060,+3.55,+35.865, +9.473,+0.872
1690374660,+3.55,+35.829, +9.649,+0.871
1690375260,+3.55,+35.865, +9.591,+0.872
1690375860,+3.55,+35.811, +9.487,+0.873
1690376460,+3.55,+35.847, +9.512,+0.874
1690377060,+3.55,+35.766, +9.436,+0.873
1690377660,+3.55,+35.721, +9.482,+0.871
1690378260,+3.55,+35.604, +9.400,+0.873
1690378860,+3.55,+35.488, +9.354,+0.874
1690379460,+3.55,+35.389, +9.588,+0.872
1690380060,+3.54,+35.290, +9.527,+0.874
1690380660,+3.54,+35.263, +9.780,+0.873
1690381260,+3.54,+35.353, +9.729,+0.874
1690381860,+3.54,+35.182, +9.490,+0.874
1690382460,+3.54,+35.075, +9.473,+0.875
1690383060,+3.55,+34.905, +9.397,+0.875
1690383660,+3.55,+34.663, +9.086,+0.877
1690384260,+3.55,+34.547, +9.085,+0.877
1690384860,+3.55,+34.503, +9.114,+0.878
1690385460,+3.55,+34.387, +9.357,+0.877
1690386060,+3.55,+34.316, +9.179,+0.877
1690386660,+3.55,+34.280, +9.023,+0.878
1690387260,+3.55,+34.164, +8.874,+0.878
1690387860,+3.55,+33.995, +8.768,+0.879
1690388460,+3.55,+33.898, +8.660,+0.880
1690389060,+3.55,+33.765, +8.506,+0.880
1690389660,+3.55,+33.658, +8.377,+0.880
1690390260,+3.55,+33.552, +8.269,+0.880
1690390860,+3.55,+33.508, +8.180,+0.880
1690391460,+3.55,+33.410, +8.110,+0.880
1690392060,+3.55,+33.375, +8.027,+0.880
1690392660,+3.55,+33.322, +7.977,+0.881
1690393260,+3.55,+33.278, +7.844,+0.880
1690393860,+3.55,+33.128, +7.470,+0.880
1690394460,+3.55,+33.039, +7.104,+0.879
1690395060,+3.55,+32.978, +6.878,+0.878
1690395660,+3.55,+32.942, +6.718,+0.878
1690396260,+3.55,+32.933, +6.532,+0.879
1690396860,+3.55,+32.916, +6.495,+0.879
1690397460,+3.55,+32.925, +6.487,+0.879
1690398060,+3.55,+32.942, +6.512,+0.879
1690398660,+3.55,+32.969, +6.637,+0.879
1690399260,+3.55,+33.013, +6.679,+0.879
1690399860,+3.55,+33.128, +6.894,+0.879
1690400460,+3.55,+33.083, +6.597,+0.879
1690401060,+3.55,+33.101, +6.702,+0.879
1690401660,+3.55,+33.119, +6.694,+0.879
1690402260,+3.55,+33.092, +6.459,+0.879
1690402860,+3.55,+33.092, +6.430,+0.878
1690403460,+3.55,+33.145, +6.318,+0.878
1690404060,+3.55,+33.189, +6.214,+0.879
1690404660,+3.55,+33.189, +6.131,+0.878
1690405260,+3.55,+33.225, +5.986,+0.878
1690405860,+3.55,+33.287, +5.953,+0.878
1690406460,+3.55,+33.287, +6.095,+0.879
1690407060,+3.55,+33.278, +5.868,+0.878
1690407660,+3.55,+33.269, +5.879,+0.879
1690408260,+3.55,+33.242, +5.509,+0.878
1690408860,+3.55,+33.242, +5.614,+0.879
1690409460,+3.55,+33.225, +5.867,+0.878
1690410060,+3.55,+33.207, +5.981,+0.878
1690410660,+3.55,+33.225, +6.042,+0.878
1690411260,+3.55,+33.198, +6.097,+0.879
1690411860,+3.55,+33.172, +6.006,+0.878
1690412460,+3.55,+33.154, +5.544,+0.878
1690413060,+3.55,+33.180, +5.585,+0.878
1690413660,+3.55,+33.207, +5.576,+0.879
1690414260,+3.55,+33.233, +5.424,+0.878
1690414860,+3.55,+33.269, +5.338,+0.878
1690415460,+3.55,+33.287, +5.227,+0.878
1690416060,+3.55,+33.322, +5.081,+0.878
1690416660,+3.55,+33.348, +5.193,+0.878
1690417260,+3.55,+33.366, +5.330,+0.878
1690417860,+3.55,+33.340, +5.537,+0.878
1690418460,+3.55,+33.322, +5.570,+0.878
1690419060,+3.55,+33.340, +5.570,+0.878
1690419660,+3.55,+33.348, +5.662,+0.878
1690420260,+3.55,+33.322, +5.969,+0.878
1690420860,+3.55,+33.287, +6.067,+0.878
1690421460,+3.55,+33.242, +6.048,+0.878
1690422060,+3.55,+33.136, +5.500,+0.878
1690422660,+3.55,+32.951, +5.366,+0.878
1690423260,+3.55,+32.845, +5.369,+0.879
1690423860,+3.55,+32.748, +5.360,+0.879
1690424460,+3.55,+32.660, +5.490,+0.880
1690425060,+3.55,+32.616, +5.447,+0.879
1690425660,+3.55,+32.511, +5.240,+0.880
1690426260,+3.55,+32.344, +4.931,+0.880
1690426860,+3.55,+32.213, +4.748,+0.880
1690427460,+3.55,+32.072, +4.662,+0.881
1690428060,+3.55,+31.915, +4.444,+0.881
1690428660,+3.55,+31.819, +4.326,+0.881
1690429260,+3.55,+31.687, +4.090,+0.880
1690429860,+3.55,+31.661, +3.903,+0.881
1690430460,+3.55,+31.583, +3.535,+0.881
1690431060,+3.55,+31.565, +3.779,+0.881
1690431660,+3.55,+31.679, +4.066,+0.881
1690432260,+3.55,+31.792, +4.015,+0.881
1690432860,+3.55,+31.985, +4.355,+0.880
1690433460,+3.55,+32.169, +4.440,+0.880
1690434060,+3.55,+32.353, +4.557,+0.880
1690434660,+3.55,+32.502, +4.931,+0.879
1690435260,+3.55,+32.652, +5.257,+0.879
1690435860,+3.55,+32.784, +5.539,+0.879
1690436460,+3.55,+32.907, +5.776,+0.879
1690437060,+3.54,+33.057, +5.945,+0.879
1690437660,+3.55,+33.189, +6.162,+0.878
1690438260,+3.55,+33.313, +6.309,+0.879
1690438860,+3.55,+33.428, +6.476,+0.878
1690439460,+3.55,+33.570, +6.663,+0.878
1690440060,+3.55,+33.667, +6.797,+0.878
1690440660,+3.55,+33.809, +6.908,+0.878
1690441260,+3.54,+33.933, +7.053,+0.877
1690441860,+3.54,+34.022, +7.157,+0.876
1690442460,+3.54,+34.129, +7.275,+0.877
1690443060,+3.54,+34.182, +7.347,+0.877
1690443660,+3.55,+34.271, +7.386,+0.877
1690444260,+3.55,+34.387, +7.444,+0.876
1690444860,+3.55,+34.351, +7.550,+0.877
1690445460,+3.55,+34.449, +7.667,+0.877
1690446060,+3.55,+34.583, +7.898,+0.876
1690446660,+3.55,+34.824, +8.408,+0.876
1690447260,+3.55,+34.771, +8.139,+0.877
1690447860,+3.55,+34.672, +8.161,+0.876
