MiniDOT Logger Concatenated Data File
Sensor:             7450-435816
Concatenation Date: 2023Feb17 20:06:42 AST

DO concentration compensated for salinity: 41.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1675405620,           2023-02-03 06:27:00,           2023-02-03 09:27:00,      3.510000,     23.478000,          6.519017,                    97.099363,      0.865000
                1675405920,           2023-02-03 06:32:00,           2023-02-03 09:32:00,      3.510000,     23.554000,          6.515912,                    97.179472,      0.866000
                1675406220,           2023-02-03 06:37:00,           2023-02-03 09:37:00,      3.510000,     23.503000,          6.521665,                    97.180395,      0.865000
                1675406520,           2023-02-03 06:42:00,           2023-02-03 09:42:00,      3.510000,     24.006000,          6.463989,                    97.151189,      0.865000
                1675406820,           2023-02-03 06:47:00,           2023-02-03 09:47:00,      3.500000,     26.364000,          6.222523,                    97.285087,      0.865000
                1675407120,           2023-02-03 06:52:00,           2023-02-03 09:52:00,      3.500000,     27.254000,          5.943686,                    94.289681,      0.865000
                1675407420,           2023-02-03 06:57:00,           2023-02-03 09:57:00,      3.510000,     25.680000,          6.282212,                    97.113287,      0.866000
                1675407720,           2023-02-03 07:02:00,           2023-02-03 10:02:00,      3.510000,     25.554000,          6.123994,                    94.469327,      0.866000
                1675408020,           2023-02-03 07:07:00,           2023-02-03 10:07:00,      3.510000,     25.528000,          6.128489,                    94.497748,      0.866000
                1675408320,           2023-02-03 07:12:00,           2023-02-03 10:12:00,      3.510000,     25.613000,          6.130134,                    94.656905,      0.866000
                1675408620,           2023-02-03 07:17:00,           2023-02-03 10:17:00,      3.510000,     25.638000,          6.108982,                    94.369527,      0.866000
                1675408920,           2023-02-03 07:22:00,           2023-02-03 10:22:00,      3.510000,     25.756000,          6.146628,                    95.137377,      0.867000
                1675409220,           2023-02-03 07:27:00,           2023-02-03 10:27:00,      3.510000,     25.503000,          6.001441,                    92.500231,      0.866000
                1675409520,           2023-02-03 07:32:00,           2023-02-03 10:32:00,      3.510000,     25.360000,          5.959626,                    91.637014,      0.866000
                1675409820,           2023-02-03 07:37:00,           2023-02-03 10:37:00,      3.510000,     25.621000,          6.066011,                    93.679229,      0.865000
                1675410120,           2023-02-03 07:42:00,           2023-02-03 10:42:00,      3.510000,     25.739000,          6.105233,                    94.469999,      0.866000
                1675410420,           2023-02-03 07:47:00,           2023-02-03 10:47:00,      3.510000,     25.663000,          6.145695,                    94.976119,      0.867000
                1675410720,           2023-02-03 07:52:00,           2023-02-03 10:52:00,      3.510000,     25.849000,          6.232402,                    96.613929,      0.867000
                1675411020,           2023-02-03 07:57:00,           2023-02-03 10:57:00,      3.510000,     25.823000,          6.153642,                    95.351882,      0.867000
                1675411320,           2023-02-03 08:02:00,           2023-02-03 11:02:00,      3.510000,     25.866000,          6.137421,                    95.168354,      0.866000
                1675411620,           2023-02-03 08:07:00,           2023-02-03 11:07:00,      3.510000,     25.908000,          6.144977,                    95.351860,      0.866000
                1675411920,           2023-02-03 08:12:00,           2023-02-03 11:12:00,      3.510000,     25.992000,          6.155333,                    95.645478,      0.866000
                1675412220,           2023-02-03 08:17:00,           2023-02-03 11:17:00,      3.510000,     26.068000,          6.130709,                    95.382672,      0.866000
                1675412520,           2023-02-03 08:22:00,           2023-02-03 11:22:00,      3.510000,     26.119000,          6.138355,                    95.582150,      0.867000
                1675412820,           2023-02-03 08:27:00,           2023-02-03 11:27:00,      3.510000,     26.187000,          6.144583,                    95.786633,      0.866000
                1675413120,           2023-02-03 08:32:00,           2023-02-03 11:32:00,      3.510000,     26.280000,          6.190735,                    96.654235,      0.866000
                1675413420,           2023-02-03 08:37:00,           2023-02-03 11:37:00,      3.510000,     26.296000,          6.177405,                    96.471562,      0.866000
                1675413720,           2023-02-03 08:42:00,           2023-02-03 11:42:00,      3.510000,     26.212000,          6.195609,                    96.621912,      0.866000
                1675414020,           2023-02-03 08:47:00,           2023-02-03 11:47:00,      3.510000,     26.026000,          6.197709,                    96.358139,      0.866000
                1675414320,           2023-02-03 08:52:00,           2023-02-03 11:52:00,      3.510000,     26.102000,          6.242102,                    97.170331,      0.867000
                1675414620,           2023-02-03 08:57:00,           2023-02-03 11:57:00,      3.510000,     26.119000,          6.227995,                    96.977960,      0.867000
                1675414920,           2023-02-03 09:02:00,           2023-02-03 12:02:00,      3.510000,     26.144000,          6.210000,                    96.737707,      0.867000
                1675415220,           2023-02-03 09:07:00,           2023-02-03 12:07:00,      3.510000,     26.178000,          6.195268,                    96.562405,      0.866000
                1675415520,           2023-02-03 09:12:00,           2023-02-03 12:12:00,      3.510000,     26.212000,          6.206716,                    96.795136,      0.867000
                1675415820,           2023-02-03 09:17:00,           2023-02-03 12:17:00,      3.510000,     26.296000,          6.216286,                    97.078769,      0.867000
                1675416120,           2023-02-03 09:22:00,           2023-02-03 12:22:00,      3.510000,     26.364000,          6.237601,                    97.520824,      0.866000
                1675416420,           2023-02-03 09:27:00,           2023-02-03 12:27:00,      3.510000,     26.322000,          6.232418,                    97.372399,      0.866000
                1675416720,           2023-02-03 09:32:00,           2023-02-03 12:32:00,      3.510000,     26.322000,          6.251463,                    97.669947,      0.867000
                1675417020,           2023-02-03 09:37:00,           2023-02-03 12:37:00,      3.510000,     26.305000,          6.264781,                    97.850612,      0.866000
                1675417320,           2023-02-03 09:42:00,           2023-02-03 12:42:00,      3.510000,     26.313000,          6.241850,                    97.505298,      0.866000
                1675417620,           2023-02-03 09:47:00,           2023-02-03 12:47:00,      3.510000,     26.322000,          6.243527,                    97.545969,      0.867000
                1675417920,           2023-02-03 09:52:00,           2023-02-03 12:52:00,      3.510000,     26.339000,          6.235763,                    97.451949,      0.867000
                1675418220,           2023-02-03 09:57:00,           2023-02-03 12:57:00,      3.510000,     26.305000,          6.256052,                    97.714278,      0.867000
                1675418520,           2023-02-03 10:02:00,           2023-02-03 13:02:00,      3.510000,     26.381000,          6.283801,                    98.270637,      0.867000
                1675418820,           2023-02-03 10:07:00,           2023-02-03 13:07:00,      3.510000,     26.440000,          6.301065,                    98.636351,      0.866000
                1675419120,           2023-02-03 10:12:00,           2023-02-03 13:12:00,      3.510000,     26.474000,          6.299029,                    98.659625,      0.866000
                1675419420,           2023-02-03 10:17:00,           2023-02-03 13:17:00,      3.510000,     26.491000,          6.328570,                    99.150023,      0.867000
                1675419720,           2023-02-03 10:22:00,           2023-02-03 13:22:00,      3.510000,     26.483000,          6.344363,                    99.384387,      0.867000
